HUC_12,HU_12_NAME,HU_8_NAME,population,pop_density,household_inc,pov_below,over_65,under_18,edu_hs_max,edu_degree,owner_occ,white_non_hisp,native,mean_elevation,max_elevation,min_elevation,mean_slope,stream_order,species_rich,bull_trout,esu_count,impaired,pct_public,natural_cover,impervious,stream_length,PUGET,YAKIMA,WILLAM,area
170300010101,Waptus River,YAKIMA,0.47225624015712,0.0238589405346032,50868.1462226631,0.0222219545989205,6.0650927024462e-4,0.00121301854048926,0.295543807762058,0.44291845712167,0.998180472189266,0.999696745364878,0,1420.487368719841,2355,785,0.1068588861,5,6,1,6,0,0,0.8767816180844147,1,126.915,0,1,0,13727.558951598385
170300010102,Headwaters Cle Elum River,YAKIMA,1.73113464243235,0.084816124998226,50956.9615563504,0.0211708232847669,0.0988680889805835,0.0991908676662866,0.29543296105999,0.443782447210991,0.999031663942891,0.999838610657149,0,1490.9589997092178,2349,785,0.1466141679775281,4,7,1,6,0,0,0.8798933946292745,1.16935539216402,119.86,0,1,0,13509.47364591536
170300010103,Cooper River,YAKIMA,0.0512328367811418,0.2202401669842,100341,0.0688030160226202,0.0434782608695652,0.130434782608696,0.117647058823529,0.493606138107417,0.521739130434783,0.811320754716981,0,1295.967309964553,2191,722,0.08758340181818182,5,9,1,0,1,0,0.8812384261107298,1.19232881963083,83.636,0,1,0,9611.547123506894
170300010104,Upper Cle Elum River,YAKIMA,3.93671275817079,0.112085432104334,51058,0.0199750312109863,0.142793161171471,0.142793161171471,0.295306859205776,0.444765342960289,1,1,0,1230.5348086675888,1865,679,0.0969392524074074,5,9,1,3,1,6.069308393573557e-4,0.9351791182789317,1.44364726835228,83.924,0,1,0,8213.86062783328
170300010105,Middle Cle Elum River,YAKIMA,186.577061955502,216.034292175852,51058,0.0199750312109863,0.337610043577164,0.217973853454244,0.295306859205776,0.444765342960289,0.905193323493424,0.919489112454624,0,934.4775013234515,1640,668,0.06028225375,5,11,1,3,1,0.24791160839146426,0.7229200275040285,1.57074152944156,68.105,0,1,0,7315.849976094213
170300010106,Lower Cle Elum River,YAKIMA,519.649905306056,491.281412838361,50290.1827397482,0.0412038121828025,0.271373641030087,0.287470040908346,0.310159371129575,0.424137784728699,0.85781946539886,0.921776509463794,0.0244906564306111,825.0518902891031,1492,600,0.03195630956521739,5,9,1,3,1,3.712278459738389e-4,0.8467336458840856,3.06666075910663,43.266,0,1,0,4946.218154633663
170300010201,Upper North Fork Teanaway River,YAKIMA,4.52202141171889,0.499091160204979,51057.0411217151,0.0200738605263249,0.467531772477787,0.197349216521176,0.295333437597971,0.444706436642119,0.966970173279807,1,0,1411.1790625,2156,844,0.11491219098039215,4,5,1,3,0,0.030952464599378848,0.9443876094733911,1.12029517132916,104.506,0,1,0,12571.253676074868
170300010202,Middle Fork Teanaway River,YAKIMA,50.2157103010568,13.143228373615,51058,0.0199750312109863,0.261332134859967,0.170905478852246,0.295306859205776,0.444765342960289,0.946082502626937,0.920343653888018,0,1276.8997064579257,1905,691,0.1084127811627907,4,5,1,3,0,0.16853783892877383,0.9879959671214589,1.14326404587647,79.906,0,1,0,7769.8209851934225
170300010203,West Fork Teanaway River,YAKIMA,106.494294994235,5.92337683638554,51051.1517029488,0.0201626848504214,0.354523106119053,0.181939699332067,0.295439431997676,0.444580649223327,0.895770252916545,0.950596304850617,0,1087.3423047763458,1905,698,0.08592838032258064,3,5,0,3,0,0.38128223437590336,0.9739385867463379,1.21608197807695,116.533,0,1,0,10145.256100270753
170300010204,Lower North Fork Teanaway River,YAKIMA,56.0201973939215,0.954070177966597,51058,0.0199750312109863,0.312022728381527,0.167257242457176,0.295306859205776,0.444765342960289,0.880406100718286,0.995092571382403,0,1027.087224383917,1613,672,0.0807471872368421,4,8,1,3,0,0.642296613599337,0.9647597281793748,1.30559441587003,138.87,0,1,0,12023.53632528208
170300010205,Tenaway River,YAKIMA,298.035548618121,26.8111717403428,50058.2175296879,0.0473705746278775,0.302070209299406,0.263309430386886,0.314661153038434,0.417801915525629,0.883548675787617,0.943517983570438,0.0271526834166935,820.0206944931602,1496,552,0.041495842666666664,6,8,1,3,0,0.506931123976876,0.8933870916737362,1.67193031435688,122.442,0,1,0,10957.263930635847
170300010301,Headwaters Yakima River,YAKIMA,319.484030066527,233.337241911375,51066.2146228768,0.0199831699907087,0.116968302264633,0.238096744221682,0.295277246392828,0.444773483875272,0.824429572699607,0.8778686909068,0.0220330964190315,1142.1312551271535,2031,741,0.09778231977011494,3,9,1,3,1,0.07359605269487432,0.846087691416748,2.25246040035882,125.649,0,1,0,14187.722861961262
170300010302,Cabin Creek,YAKIMA,2.04442987214147,78.3480243866007,44814.8081067455,0.179215543922381,0.97826784242057,0.0215088072424709,0.366037042262807,0.268675723887048,0.978491192757529,0.99992554988768,0,1156.9668688754084,1640,683,0.0758116992,3,6,0,3,1,0.13737897386749087,0.9395646257141105,1.44447063701712,52.461,0,1,0,8228.370629221476
170300010303,Kachess River,YAKIMA,97.1968356958534,26.0414682679358,51058,0.0199750312109863,0.148732065021031,0.338168813879296,0.295306859205776,0.444765342960289,1,0.918273562470902,0.0098851087080457,1116.918576886342,1903,159,0.11626872659793815,4,10,1,3,1,0.10557784834631585,0.8390081488932446,1.31761925778719,127.844,0,1,0,16445.10378109959
170300010304,Stampede Creek-Yakima River,YAKIMA,28.1810951376394,18.9554677534411,51061.344412729,0.0200412212601411,0.0725765551864616,0.0949617335534402,0.295329064402821,0.444727928740587,0.7513371975064,0.928418249649324,0.070969562759424,929.0532786885246,1561,674,0.07519701,4,11,1,3,1,0.031082246967341572,0.8970427235471581,2.29423502971094,67.595,0,1,0,7472.39192074656
170300010305,Big Creek,YAKIMA,77.410710954029,87.7675824636857,44420.0280565817,0.177684319348753,0.266990587082659,0.348614173370348,0.36590783816629,0.267629169324727,0.779868572135907,0.949242306498151,0.0273857273451809,1234.8042355371902,1838,638,0.102412743,3,7,0,3,1,0,0.9734940853211276,1.19005035689092,52.102,0,1,0,7271.714857568471
170300010306,Little Creek-Yakima River,YAKIMA,1587.96726841622,195.143629682805,45639.5291973896,0.150594699459376,0.303364721222512,0.219594215221187,0.353601340555695,0.300809510678662,0.841902188973242,0.904077018857447,0.024659506690455,949.798523206751,1767,600,0.04273762779661017,5,9,1,3,1,0.013813685334655695,0.8813279721859248,2.55296602126963,126.286,0,1,0,14393.960281692973
170300010307,Crystal Creek-Yakima River,YAKIMA,4846.6225749136,848.337201733966,44662.5756440558,0.156042155603776,0.294067296884271,0.287516444631203,0.352271053516305,0.322461981533727,0.700281128817037,0.909252394717,0.0310885571525008,746.5757391039317,1303,553,0.0239889876,6,9,1,3,0,0.0178794282607846,0.6696921044403635,5.56934391416468,145.315,0,1,0,12842.036860528757
170300010401,Upper Naneum Creek,YAKIMA,0.013629880074483,2.05950392354986,57339,0.0565897244973939,0.357142857142857,0.214285714285714,0.269499731038193,0.2926304464766,1,0.984848484848485,0,1604.4267688147813,2054,1101,0.08703227,3,1,0,3,0,0.11599310700382055,0.9588335797890367,2.00064419905909,94.698,0,1,0,8817.496165150242
170300010402,Middle Naneum Creek,YAKIMA,5.2320244140742,69.0414125149895,59138.4545517518,0.081007427695491,0.177798186360415,0.00174173651833224,0.323529278482731,0.354646385868949,0.643973561413538,0.822030789213998,0.177947808234559,1365.5797598627787,2050,739,0.0951308355263158,4,3,0,3,1,0.18487031023053382,0.944289998920456,2.48834772136325,78.032,0,1,0,8993.81942369214
170300010403,Colemant Creek,YAKIMA,479.43392435392,25.8872426815279,59768.6776567127,0.0825342127272128,0.266685555888738,0.325802565617268,0.322317746185102,0.347020277901278,0.841220397718977,0.938553946710944,0.016783897727329,986.442521994135,1955,440,0.045064670340909094,3,4,0,3,0,0.15616116147734568,0.6410525270130505,2.45392317174862,223.339,0,1,0,13239.899706531996
170300010404,Caribou Creek,YAKIMA,684.066739900322,897.450557961399,50790.3561199989,0.176713850033342,0.20753654190078,0.411675681924422,0.275378141447313,0.42852339926365,0.664989757129389,0.89126784505549,0.0250450855363727,879.5621165644171,1543,456,0.04386936779220779,4,1,0,3,0,0.08216150799226489,0.7395671424969561,1.69038258183464,152.919,0,1,0,10050.65614068902
