"HUC_12","BARREN","DECIDUOUS_FOR","DEVELOPED_LOW","DEVELOPED_MED","DEVELOPED_OPEN","EVERGREEN_FOR","GRASS_HERB","HERB_WETLANDS","MIXED_FOR","SHRUB_SCRUB","WATER","WOOD_WETLANDS","DEVELOPED_HIGH","PASTURE","CROPS","ICE_SNOW","HUC12_IMP"
170900010101,0.00838019160823738,5.17871369003686e-05,0.000377698416505329,5.17871366214889e-05,0.00303793543976624,0.910611696922439,0.0137387978306054,0.000302091722096474,2.58935685460737e-05,0.0556885765851082,0.00693947638742136,0.000794069404894244,0,0,0,0,1.15791422179569
170900010102,2.33063771089692e-05,2.10316504261618e-05,0,0,0,0.535976355084295,0.370265046061889,0,0,0.0928098994349309,0.000525791191003172,0.000378569667763411,0,0,0,0,1.34107450663855
170900010103,0.0268028612497988,0,1.23151622693189e-05,0,0.000309514927382169,0.826629267574264,0.0886159191009967,0,0.000233996351612957,0.0569866269663157,0.000409493658352218,0,0,0,0,0,1.0570872573543
170900010104,0.0481696045096953,7.93169253322056e-05,0.000189943465833293,3.96584632657602e-05,0.00481357523652851,0.830706047037931,0.00511899845170803,7.93169273828269e-05,0,0.10854301356384,0.00195648415561528,0.000304048245007492,0,0,0,0,1.08942558539805
170900010105,0.000436822501986877,0.000162737789012929,0.000402561897304265,6.85211744546297e-05,0.00278367262230491,0.85973312817502,0.0111487457316644,0,0.000205563524114925,0.124621422558276,0.000385431599657036,4.28257438954624e-05,8.56514673072009e-06,0,0,0,1.16563782298267
170900010106,0.000252079722260941,4.84768747775282e-05,5.81722494189509e-05,0,0.00330612232686916,0.654841564344178,0.18278319573085,0,0.000843497596289587,0.15704278821036,0.000698067070566682,0.000126039858752456,0,0,0,0,1.10282994936506
170900010201,0.000537520264375898,0.000177117457406789,0.00018892528871823,7.08469863607478e-05,0.00398916437935758,0.879768096741154,0.00323534543003044,0,0.000295195790685401,0.110450733072623,0.00110993599601069,0.000177117443776499,0,0,0,0,1.12821554967803
170900010202,0.0075357287440567,0.00032817870908468,1.70749446275757e-05,0,1.31208478917027e-05,0.845260830673595,0.0138949558481799,0.000452660332252776,0.0161368368038737,0.103921847430219,0.0123595397883111,7.92155535619132e-05,0,0,0,0,1.12027610162206
170900010301,0.00178506019548787,0,0.00199743248057298,0.000194160461447763,0.00924198711704808,0.952549044120166,0.000252632717129328,0.00041516411102316,0,0.017819038451109,0.0102945343479813,0.00545095221468367,0,0,0,0,1.1314317229761
170900010302,0.00051823805179417,0.00216150851520838,0.000552714477424607,8.88291159677237e-05,0.0100585558697683,0.901537810259222,0.00267816360464608,0,0.00369320611094441,0.0756019523474635,0.00257604430153551,0.00051323500403824,1.97398036765181e-05,0,0,0,1.12291039273735
170900010303,0.001613718936695,0.000548706759540726,0.000753776570432033,2.12331426031126e-05,0.020740582771907,0.883442318498683,0.00192474776010852,0,0.00420057834236076,0.0856025884644275,0.000246629991148847,0.000127398856780385,0,0.000777730511253389,0,0,1.102709522993
170900010401,0.00410687776312323,0.000221724767819464,0,0,0,0.925986316290057,0.000493841530511807,0,0.00088689903173684,0.0641016490914414,0.0035173605745694,0.000685330922709127,0,0,0,0,1.03608363918805
170900010402,0.000519766013975422,5.37688919824496e-05,0,0,0,0.933149376870031,0.00438216519907983,3.58459283218689e-05,0.000385343732353289,0.055944500174473,0.00476750822897192,0.000761725803924521,0,0,0,0,1.08360609979807
170900010403,0.00109813204213839,0.000655764654002363,0.00423136841482352,0.00236052431554025,0.0068267088309617,0.880569108947119,0.00186990544165593,0.000667315405420082,0.00382054146913331,0.091179372901797,0.00114600091642333,0.00122434581224858,0.000378494179746946,0.00397241222851483,0,0,1.4618103273207
170900010501,0.000408825355828036,0.000196426381959046,0.00025686749411872,2.08667981958207e-05,0.00543608645924582,0.877613627890143,0.00229667749393205,0,0.000423072134780889,0.111579710888831,0.00151097207003596,0.000256865245131705,0,0,0,0,1.0874168765271
170900010502,0.000295543353105644,0.000363807025461381,2.20489086186105e-05,1.10244543522911e-05,0.00195733299555565,0.875179015875612,0.00980856501477657,1.34198184867994e-05,0.00326218256872351,0.107425259003206,0.00123787761257319,0.000423925955472137,0,0,0,0,1.08482822519601
